"SOC Code","Name","Url","Calculated Risk %","Voted Risk %","Votes","Is Group","Group SOC Codes"
"13-2011.00","Accountants and Auditors","https://willrobotstakemyjob.com/accountants-and-auditors","69.1","67.3","7,000","false",""
"27-2011.00","Actors","https://willrobotstakemyjob.com/actors","27.3","45.1","2,229","false",""
"15-2011.00","Actuaries","https://willrobotstakemyjob.com/actuaries","60.9","41.8","900","false",""
"29-1291.00","Acupuncturists","https://willrobotstakemyjob.com/acupuncturists","8.8","24.1","28","false",""
"29-1141.01","Acute Care Nurses","https://willrobotstakemyjob.com/acute-care-nurses","5.8","15.6","8","false",""
"25-2059.01","Adapted Physical Education Specialists","https://willrobotstakemyjob.com/adapted-physical-education-specialists","0.0","18.8","12","false",""
"51-9191.00","Adhesive Bonding Machine Operators and Tenders","https://willrobotstakemyjob.com/adhesive-bonding-machine-operators-and-tenders","100.0","62.5","14","false",""
"23-1021.00","Administrative Law Judges, Adjudicators, and Hearing Officers","https://willrobotstakemyjob.com/administrative-law-judges-adjudicators-and-hearing-officers","54.6","42.5","30","false",""
"11-3012.00","Administrative Services Managers","https://willrobotstakemyjob.com/administrative-services-managers","42.7","45.0","70","false",""
"25-3011.00","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","https://willrobotstakemyjob.com/adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors","43.5","39.8","81","false",""
"29-1141.02","Advanced Practice Psychiatric Nurses","https://willrobotstakemyjob.com/advanced-practice-psychiatric-nurses","0.0","9.6","26","false",""
"11-2011.00","Advertising and Promotions Managers","https://willrobotstakemyjob.com/advertising-and-promotions-managers","31.5","37.3","79","false",""
"41-3011.00","Advertising Sales Agents","https://willrobotstakemyjob.com/advertising-sales-agents","55.9","59.5","55","false",""
"17-3021.00","Aerospace Engineering and Operations Technologists and Technicians","https://willrobotstakemyjob.com/aerospace-engineering-and-operations-technologists-and-technicians","56.2","43.5","50","false",""
"17-2011.00","Aerospace Engineers","https://willrobotstakemyjob.com/aerospace-engineers","38.7","29.2","1,105","false",""
